# 进迭时空 提交列表（纯文本视图）
# 共 134 个提交
# 生成时间: 2026-06-12 06:00:37
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
9071fc4c | 2025-04-09 | Alex Elder | serial: 8250_of: add support for an optional bus clock
cca67c00 | 2025-01-24 | Andy Shevchenko | serial: 8250_of: Remove unneeded ->iotype assignment
678efce5 | 2024-04-05 | Bastien Curutchet | serial: 8250_of: Add clock_notifier
ec82cd2d | 2024-03-04 | Andy Shevchenko | serial: 8250_of: Switch to use uart_read_port_properties()
5a506f4c | 2024-02-15 | Andy Shevchenko | serial: 8250_of: Drop quirk fot NPCM from 8250_port
954bba8c | 2023-09-19 | Andy Shevchenko | serial: 8250_of: Use devm_clk_get_enabled()
1c60e02e | 2023-09-12 | Andy Shevchenko | serial: 8250_of: Use dev_err_probe() instead of dev_warn()
4a4442f8 | 2025-08-26 | zhangmeng | riscv: k1: dts: enable eth0/eth1 for bananapi f3 board
6f31255e | 2025-08-26 | zhangmeng | riscv: config: enable emac driver for spacemit k1
5337bc4a | 2025-08-26 | zhangmeng | riscv: k1: dts: add emacs controllers support for spacemit k1
21aa54e5 | 2025-08-26 | zhangmeng | net: k1: support emac controller in spacemit k1 soc
58b293ea | 2025-08-25 | zhangmeng | riscv: k1: dts: enable sdhci-0/1/2 for bananapi f3 board
9e1fa85c | 2025-08-25 | zhangmeng | riscv: config: enable sdhci driver for spacemit k1
48a7104c | 2025-08-25 | zhangmeng | riscv: k1: dts: add sdhci controller support for spacemit k1
5f51b042 | 2025-08-25 | zhangmeng | mmc: sdhci-of-k1: add support for SpacemiT K1 SoC
bcc64353 | 2025-08-25 | zhangmeng | dt-bindings: mmc: spacemit,sdhci: add support for K1 SoC
d6dd2de6 | 2025-08-24 | zhangmeng | driver: k1/spi: Fixed compilation errors reported when enable CONFIG_PM_SLEEP
dd504059 | 2025-05-28 | zhangmeng | riscv: config: enable CONFIG_RISCV_ISA_ZICBOM for spacemit k1
3145aec2 | 2025-05-20 | zhangmeng | riscv: config: enable spacemit p1 driver for spacemit k1
3a039783 | 2025-05-21 | zhangmeng | riscv: dts: add spacemit p1 pmic support for bananapi f3
5259c96c | 2025-05-20 | zhangmeng | driver: iio/adc: add spacemit p1 adc driver support
1a13951b | 2025-05-20 | zhangmeng | driver: rtc: add spacemit p1 rtc driver support
