# 算能 提交列表（纯文本视图）
# 共 98 个提交
# 生成时间: 2026-08-05 22:11:45
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
4f7c6517 | 2024-04-23 | chunzhi.lin | dts:sophgo:add i2c-rtc ds1307 device node for single chip
c063c9e0 | 2024-03-28 | chunzhi.lin | riscv:dts:modify dw gpio clock name
1f438922 | 2024-03-26 | Xiaoguang Xing | riscv: defconfig: Add openeuler defconfig
c0731413 | 2024-03-23 | fengchun.li | drivers:pci:remove the err log of parsing pci
a48ad907 | 2023-07-12 | Xiaoguang Xing | riscv: configs: Add sophgo sg2042 soc defconfig
adeb9611 | 2024-03-21 | Xiaoguang Xing | driver: ipmi: support KVM and IPMI SI for BMC
701b2b18 | 2023-07-31 | Chao Wei | driver: radeon: deinit device during kexec
215d033e | 2023-08-29 | Xiaoguang Xing | kernel: schedule: Fix set_task_cpu() bug
0dc47118 | 2023-10-17 | Xiaoguang Xing | mm: Modify __find_max_addr for memory hole
f96e7774 | 2023-02-16 | xiaoguang.xing | riscv: kernel: Optimize apply_relocate_add()
3a857238 | 2023-02-16 | xiaoguang.xing | riscv: mm: Clear compilation warning about last_cpupid
cfbcecc7 | 2023-11-16 | haijiao.liu | kernel: tick: filter unnecessary printing
259fad42 | 2023-10-21 | haijiao.liu | kernel: Adjust the log level of the tick_switch_to_oneshot function
368b4838 | 2024-03-21 | Xiaoguang Xing | driver: clk: Modify the timer clock is turned off defaultly
2c2a2e93 | 2024-03-21 | Xiaoguang Xing | drivers: clock: Add sophgo sg2042 multi-chip clock synchronous support
5d8a7505 | 2024-03-20 | Xiaoguang Xing | riscv: mm: Add high memory on riscv64 using sv39
6d0ed35a | 2023-02-16 | xiaoguang.xing | riscv: kexec: Add image loader for kexec file
2f67e8bf | 2024-03-06 | Xiaoguang Xing | drm/amd/display: Support DRM_AMD_DC_FP on RISC-V
1d5d6447 | 2024-03-06 | Xiaoguang Xing | riscv: Factor out riscv-march-y to a separate Makefile
4a52f3ab | 2024-03-06 | Xiaoguang Xing | riscv: Add support for kernel-mode FPU
cd152734 | 2024-01-26 | Xiaoguang Xing | mango pci hack:broadcast when no MSI source known
f797e376 | 2023-07-12 | Xiaoguang Xing | driver: soc: Add sophgo sg2042 soc support
d088522a | 2024-03-21 | Xiaoguang Xing | drivers: pcie: sophgo: Create msi-x whitelist,turn on msi-x for top intr
cfd68e87 | 2024-03-21 | Xiaoguang Xing | driver: pcie: Add sophgo sg2042 soc support
614358a2 | 2023-07-12 | Xiaoguang Xing | driver: net: Add sophgo sg2042 soc support
fca3a69a | 2024-03-06 | Xiaoguang Xing | driver: mtd: Add sophgo sg2042 soc support
2ce05aec | 2024-03-21 | Xiaoguang Xing | driver: mmc: Add sophgo sg2042 soc support
6c99ffa9 | 2023-07-12 | Xiaoguang Xing | driver: reset: Add sophgo sg2042 soc support
d2b1813f | 2023-07-12 | Xiaoguang Xing | driver: pinctrl: Add sophgo sg2042 soc support
0cd8a048 | 2023-07-12 | Xiaoguang Xing | driver: clk: Add sophgo sg2042 soc support
63100468 | 2023-10-21 | haijiao.liu | riscv: spinlock: Fix deadlock issue
379e4715 | 2023-05-25 | xiaoguang.xing | riscv: add smp_cond_load_acquire()
b97882ba | 2024-01-29 | Xiaoguang Xing | riscv: add ioremap_wc for gpu
36c1d709 | 2023-10-19 | Xiaoguang Xing | riscv: errata: thead: Make cache clean to flush
253cf1a8 | 2024-01-22 | Xiaoguang Xing | riscv: errata: Replace thead cache clean with flush
9e198404 | 2023-07-20 | Xiaoguang Xing | riscv: Kconfig: Set vector as default no
634ede2b | 2024-03-06 | Xiaoguang Xing | riscv: Add sophgo sg2042 soc support
