# 中兴通讯 提交列表（纯文本视图）
# 共 354 个提交
# 生成时间: 2026-05-19 22:52:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
e0b14fda | 2024-11-03 | Alexandre Ghiti | riscv: Add qspinlock support
29b644b9 | 2024-11-03 | Alexandre Ghiti | riscv: Implement xchg8/16() using Zabha
c27c38d1 | 2024-11-03 | Alexandre Ghiti | riscv: Implement arch_cmpxchg128() using Zacas
a769deb2 | 2024-11-03 | Alexandre Ghiti | riscv: Improve zacas fully-ordered cmpxchg()
90f02d59 | 2024-07-26 | Yong-Xuan Wang | RISC-V: KVM: Add Svade and Svadu Extensions Support for Guest/VM
4d263026 | 2024-10-16 | Samuel Holland | RISC-V: KVM: Allow Smnpm and Ssnpm extensions for guests
585c9d7f | 2024-04-26 | Andrew Jones | KVM: riscv: Support guest wrs.nto
bce2752f | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zcmop extension for Guest/VM
3a44069d | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zca, Zcf, Zcd and Zcb extensions for Guest/VM
07458a01 | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zimop extension for Guest/VM
01db57cc | 2024-02-13 | Anup Patel | RISC-V: KVM: Allow Zacas extension for Guest/VM
c35cb8cc | 2024-02-13 | Anup Patel | RISC-V: KVM: Allow Ztso extension for Guest/VM
e586c5f2 | 2024-02-13 | Anup Patel | RISC-V: KVM: Forward SEED CSR access to user space
a431a6b4 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zfa extension for Guest/VM
4e937278 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zvfh[min] extensions for Guest/VM
c82c16ac | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zihintntl extension for Guest/VM
762b07c0 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zfh[min] extensions for Guest/VM
51c199bf | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow vector crypto extensions for Guest/VM
fdc35f10 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow scalar crypto extensions for Guest/VM
1ae9fc6e | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zbc extension for Guest/VM
dfefc9bf | 2023-09-15 | Anup Patel | RISC-V: KVM: Allow Zicond extension for Guest/VM
831869fa | 2023-11-12 | Xiao Wang | riscv: Optimize hweight API with Zbb extension
575bc6c9 | 2023-10-31 | Xiao Wang | riscv: Optimize bitops with Zbb extension
3ff7a2ac | 2024-06-21 | Xiao Wang | riscv: Optimize crc32 with Zbc extension
f645182b | 2025-02-28 | Robin Murphy | iommu: Handle race with default domain setup
897097be | 2023-10-03 | Jason Gunthorpe | iommu: Do not use IOMMU_DOMAIN_DMA if CONFIG_IOMMU_DMA is not enabled
3d718bdb | 2023-09-13 | Jason Gunthorpe | iommu: Convert remaining simple drivers to domain_alloc_paging()
d07f4e19 | 2023-09-13 | Jason Gunthorpe | iommu: Convert simple drivers with DOMAIN_DMA to domain_alloc_paging()
dcc3ee1a | 2023-09-13 | Jason Gunthorpe | iommu: Add ops->domain_alloc_paging()
c70a028d | 2023-09-13 | Jason Gunthorpe | iommu: Add __iommu_group_domain_alloc()
b892f934 | 2023-09-13 | Jason Gunthorpe | iommu: Require a default_domain for all iommu drivers
892b1b65 | 2023-09-13 | Jason Gunthorpe | iommu/sun50i: Add an IOMMU_IDENTITIY_DOMAIN
7b0f613a | 2023-09-13 | Jason Gunthorpe | iommu/mtk_iommu: Add an IOMMU_IDENTITIY_DOMAIN
80d97b2a | 2023-09-13 | Jason Gunthorpe | iommu/ipmmu: Add an IOMMU_IDENTITIY_DOMAIN
9627dca2 | 2023-09-13 | Jason Gunthorpe | iommu/qcom_iommu: Add an IOMMU_IDENTITIY_DOMAIN
9cf52371 | 2023-09-13 | Jason Gunthorpe | iommu: Remove ops->set_platform_dma_ops()
10c03afc | 2023-09-13 | Jason Gunthorpe | iommu/msm: Implement an IDENTITY domain
ab401c1e | 2023-09-13 | Jason Gunthorpe | iommu/omap: Implement an IDENTITY domain
13479b1b | 2023-09-13 | Jason Gunthorpe | iommu/tegra-smmu: Support DMA domains in tegra
f38805bb | 2023-09-13 | Jason Gunthorpe | iommu/tegra-smmu: Implement an IDENTITY domain
8e6e8376 | 2023-09-13 | Jason Gunthorpe | iommu/exynos: Implement an IDENTITY domain
d7430770 | 2023-09-13 | Jason Gunthorpe | iommu: Allow an IDENTITY domain as the default_domain in ARM32
3025312e | 2023-09-13 | Jason Gunthorpe | iommu: Reorganize iommu_get_default_domain_type() to respect def_domain_type()
15d70b2d | 2023-09-13 | Jason Gunthorpe | iommu/mtk_iommu_v1: Implement an IDENTITY domain
c4f0d586 | 2023-09-13 | Jason Gunthorpe | iommu/fsl_pamu: Implement a PLATFORM domain
2c791d2c | 2023-09-13 | Jason Gunthorpe | iommu: Add IOMMU_DOMAIN_PLATFORM for S390
1fe5c4dd | 2023-09-13 | Jason Gunthorpe | iommu: Add IOMMU_DOMAIN_PLATFORM
8607ba7e | 2023-09-13 | Jason Gunthorpe | iommu: Add iommu_ops->identity_domain
f3290c9c | 2025-07-29 | gaorui | Revert "iommu: Handle race with default domain setup"
3ab7933a | 2024-04-09 | Baoquan He | kexec: fix the unexpected kexec_dprintk() macro
a240221c | 2024-07-30 | Sunil V L | kexec_file, parisc: print out debugging message if required
8b7b9fc4 | 2023-12-13 | Baoquan He | kexec_file, power: print out debugging message if required
a86a5e85 | 2023-12-13 | Baoquan He | kexec_file, riscv: print out debugging message if required
5f97d158 | 2023-12-13 | Baoquan He | kexec_file, arm64: print out debugging message if required
cf143fa2 | 2023-12-13 | Baoquan He | kexec_file, x86: print out debugging message if required
dda08671 | 2023-12-13 | Baoquan He | kexec_file: print out debugging message if required
d1cbf776 | 2023-12-13 | Baoquan He | kexec_file: add kexec_file flag to control debug printing
ab1b780b | 2025-04-03 | Radim Krčmář | KVM: RISC-V: reset smstateen CSRs
5672cf32 | 2023-12-24 | Anup Patel | RISC-V: KVM: Fix indentation in kvm_riscv_vcpu_set_reg_csr()
c3c4b211 | 2023-09-13 | Mayuresh Chitale | RISCV: KVM: Add sstateen0 to ONE_REG
ca66078f | 2023-09-13 | Mayuresh Chitale | RISCV: KVM: Add sstateen0 context save/restore
bf4b0243 | 2023-09-13 | Mayuresh Chitale | RISCV: KVM: Add senvcfg context save/restore
f863e063 | 2023-09-13 | Mayuresh Chitale | RISC-V: KVM: Enable Smstateen accesses
bc47f401 | 2023-09-13 | Mayuresh Chitale | RISC-V: KVM: Add kvm_vcpu_config
27868302 | 2024-07-30 | Sunil V L | serial: 8250_platform: Enable generic 16550A platform devices
c37a72d0 | 2025-04-09 | Song Shuai | riscv: kexec_file: Support loading Image binary file
77144e6b | 2025-07-25 | gaorui | riscv: kexec_file: Split the loading of kernel and others
1273df02 | 2025-07-25 | gaorui | Revert "riscv: kexec: Add image loader for kexec file"
5b05066d | 2023-11-30 | Samuel Ortiz | RISC-V: Implement archrandom when Zkr is available
11587c4d | 2024-02-08 | Sunil V L | cpufreq: Move CPPC configs to common Kconfig and add RISC-V
361da4ca | 2024-02-08 | Sunil V L | ACPI: RISC-V: Add CPPC driver
94b1d85f | 2024-06-17 | Yunhui Cui | RISC-V: Select ACPI PPTT drivers
d8ce6f65 | 2024-05-02 | Sia Jee Heng | RISC-V: ACPI: Enable SPCR table for console output on RISC-V
66d29302 | 2024-07-18 | Ryo Takakura | RISC-V: Enable IPI CPU Backtrace
643c7d78 | 2024-06-13 | Haibo Xu | riscv: dmi: Add SMBIOS/DMI support
fd53f4c0 | 2024-06-13 | Haibo Xu | ACPI: NUMA: replace pr_info with pr_debug in arch_acpi_numa_init
4a28a0c5 | 2025-04-25 | gaorui | ACPI: NUMA: change the ACPI_NUMA to a hidden option
33e8aca8 | 2025-04-25 | gaorui | ACPI: NUMA: Make some NUMA-related functions available for RISC-V
f8cf83d7 | 2024-06-13 | Haibo Xu | ACPI: NUMA: Add handler for SRAT RINTC affinity structure
31648e7f | 2024-06-13 | Haibo Xu | ACPI: RISCV: Add NUMA support based on SRAT and SLIT
09153d5d | 2024-01-17 | Haibo Xu | ACPICA: SRAT: Add RISC-V RINTC affinity structure
