# 中兴通讯 提交列表（纯文本视图）
# 共 354 个提交
# 生成时间: 2026-05-19 22:52:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
b1096006 | 2025-05-23 | Clément Léger | RISC-V: KVM: add support for SBI_FWFT_MISALIGNED_DELEG
51dcb004 | 2025-05-23 | Clément Léger | RISC-V: KVM: add support for FWFT SBI extension
71a12492 | 2025-05-23 | Clément Léger | RISC-V: KVM: add SBI extension reset callback
50a7da91 | 2025-05-23 | Clément Léger | RISC-V: KVM: add SBI extension init()/deinit() functions
e0cc1501 | 2025-05-23 | Clément Léger | riscv: misaligned: add a function to check misalign trap delegability
6575dea5 | 2025-05-23 | Clément Léger | riscv: misaligned: move emulated access uniformity check in a function
65a13367 | 2025-05-23 | Clément Léger | riscv: misaligned: declare misaligned_access_speed under CONFIG_RISCV_MISALIGNED
0af94e92 | 2025-05-23 | Clément Léger | riscv: misaligned: use on_each_cpu() for scalar misaligned access probing
06029835 | 2025-05-23 | Clément Léger | riscv: misaligned: request misaligned exception from SBI
85c0252e | 2025-05-23 | Clément Léger | riscv: sbi: add SBI FWFT extension calls
6bed28b2 | 2025-05-23 | Clément Léger | riscv: sbi: add FWFT extension interface
cf91bb37 | 2025-05-23 | Clément Léger | riscv: sbi: add new SBI error mappings
c3a76d6a | 2025-05-23 | Clément Léger | riscv: sbi: remove useless parenthesis
77f3b970 | 2025-05-23 | Clément Léger | riscv: sbi: add Firmware Feature (FWFT) SBI extensions definitions
f58b6e0a | 2024-04-02 | Chao Du | RISC-V: KVM: selftests: Add ebreak test support
9c429968 | 2024-04-02 | Chao Du | RISC-V: KVM: Handle breakpoint exits for VCPU
1f346814 | 2024-04-02 | Chao Du | RISC-V: KVM: Implement kvm_arch_vcpu_ioctl_set_guest_debug()
63d91530 | 2024-01-11 | Paolo Bonzini | KVM: define __KVM_HAVE_GUEST_DEBUG unconditionally
7ef4be74 | 2025-04-09 | Andrew Jones | riscv: Fix unaligned access info messages
5d6fe55d | 2024-08-29 | Alexandre Ghiti | riscv: Fix RISCV_ALTERNATIVE_EARLY
b23cd9e7 | 2024-03-22 | Alexandre Ghiti | riscv: Improve sbi_ecall() code generation by reordering arguments
49b9cabc | 2024-03-21 | Samuel Holland | riscv: Add tracepoints for SBI calls and returns
18991d00 | 2025-04-22 | Clément Léger | riscv: misaligned: use get_user() instead of __get_user()
33611e4b | 2025-04-22 | Clément Léger | riscv: misaligned: enable IRQs while handling misaligned accesses
fa8b0794 | 2025-04-22 | Clément Léger | riscv: misaligned: factorize trap handling
ac91d940 | 2025-04-11 | Nylon Chen | riscv: misaligned: Add handling for ZCB instructions
